reason,transactions,total_amount_dollars
Promo Balance Adjustment - Other,1566,1732734.98
(blank),177,185934.17
VIP,172,65952.29
Zero Out Balance - Promo,251,5342.86
Test,23,3520.0
Credit Balance Adjustment - Other,2,2050.0
Social Giveaways,20,2000.0
Free Pick to Promo,2,350.0
Account Reinstated,16,329.77
Fraud Other,2,200.0
Zero Out Balance - Resettlement,3,150.0
Corrected Payout - Promo,1,100.0
Zero Out Balance - Fraud,7,96.98
Reboot,1,75.0
Promo Resettlement,2,70.0
ATO Indemnification,5,54.879999999999995
Deposit Adjustment,2,5.0
